CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U01111AN2007PTC000087,ANDAMAN AGRO PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,06-08-2007,Andaman and Nicobar Islands,2000000,100000,`01111,Agriculture and Allied Activities,Sadha Bhavan Gurudwara Lane Port Blair AN IN 744101,RoC-Chennai,NA,NA,NA
U01114AN2016PTC005323,APIARY PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-12-2016,Andaman and Nicobar Islands,100000,100000,`01114,Agriculture and Allied Activities,SCHOOL LINE NEKETAN COLONY PORT BLAIR Andaman Islands AN IN 744103,RCAND,ANDAMANCPC@GMAIL.COM,31-03-2017,31-03-2017
U01120AN2010PTC000135,OCEANIC AGRO TECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-03-2010,Andaman and Nicobar Islands,2000000,750000,`01120,Agriculture and Allied Activities,SADHA BHAWAN GURUDWARA LANE PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U01211AN2009PTC000123,VINOTH FEEDS AND POULTRY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-10-2009,Andaman and Nicobar Islands,30000000,19950000,`01211,Agriculture and Allied Activities,SADHA BHAVAN GURUDWARA LANE PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2016
U45500AN2016PTC005308,ILANCE DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-07-2016,Andaman and Nicobar Islands,100000,100000,`45500,Construction,"CH 59(2), Chruch Road, Rangat Andaman Islands AN IN 744205",RoC-Chennai,d.umailme@rediffrnail.com,NA,NA
U50100AN2016PTC005321,GENNEXT MOTORS(ANDAMANS) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-12-2016,Andaman and Nicobar Islands,5000000,400000,`50100,Trading,"Room No 14, Atul Smriti Samity (Bengali Club) Middle Point Port Blair Andaman Islands AN IN 744101",RCAND,sagar.khurana@hotmail.com,31-03-2017,31-03-2017
U50102AN1980PTC000007,ANDAMAN MOTORS PRIVATE LIMITED.,Active,Private,Company limited by Shares,Non-govt company,03-09-1980,Andaman and Nicobar Islands,1000000,1000000,`50102,Trading,Aberdeen Bazaar Port Blair AN IN 744101,RoC-Chennai,sajid@andamanmotors.com,31-03-2017,31-03-2017
U50102AN2007PTC000084,DHEERAJ MOTOR PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-06-2007,Andaman and Nicobar Islands,2500000,2500000,`50102,Trading,"No.1, Netaji Road, Aberdeen Bazaar Port Blair AN IN 744101",RoC-Chennai,lawflo@gmail.com,31-03-2014,31-03-2014
U50103AN2015PTC000276,PREETA CARS (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-10-2015,Andaman and Nicobar Islands,2000000,900000,`50103,Trading,PHOENIX BAY SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,preetacarsindiapltd@gmail.com,31-03-2016,31-03-2016
U50200AN2012PTC000182,COASTAL SEAWAYS (ISLAND) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-11-2012,Andaman and Nicobar Islands,6000000,1000000,`50200,Trading,127 M G ROAD JUNGLIGHAT PORT BLAIR AN IN 744103,RoC-Chennai,coastalcruise@ymail.com,31-03-2016,31-03-2016
U50401AN2015OPC000269,OM SAI RAM PACKERS & MOVERS PRIVATE LIMITED (OPC),Active,Private(One Person Company),Company limited by Shares,Non-govt company,07-08-2015,Andaman and Nicobar Islands,100000,100000,`50401,Trading,"AUSTINABAD PORT BLAIR, SERIAL NO.83 ANDAMAN ISLANDS AN IN 744103",RoC-Chennai,NA,31-03-2017,31-03-2016
U50404AN2012PTC000181,MOHAN AUTOMOTIVES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-10-2012,Andaman and Nicobar Islands,12500000,11846500,`50404,Trading,JUNGLIGHAT OPP. SUPER ELECTRONICS PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,efile.casatya@gmail.com,NA,31-03-2016
U50404AN2013PTC000206,GOVINDAMMA TRADING CO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-08-2013,Andaman and Nicobar Islands,500000,100000,`50404,Trading,"19, Phonix Bay South Andaman Port Blair Andaman Islands AN IN 744102",RoC-Chennai,gdmyamaha@yahoo.co.in,31-03-2017,31-03-2017
U50500AN2000PTC000065,ANDAMAN & NICOBAR TECHNOLOGY LAB PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-12-2000,Andaman and Nicobar Islands,5000000,0,`50500,Trading,MB 06 MoulanA Azad Road Phonenix Bay Port Blair AN IN 744102,RoC-Chennai,nadeemixz@gmail.com,NA,NA
U50500AN2016PTC005324,AHAAN AUTOMOBILES (ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-12-2016,Andaman and Nicobar Islands,5000000,800000,`50500,Trading,"Room No 15, Atul Smriti Samity (Bengali Club) Middle Point Port Blair Andaman Islands AN IN 744101",RCAND,sagar.khurana@hotmail.com,31-03-2017,31-03-2017
U50500AN2017PTC005367,GENNEXT HEAVY EQUIPMENTS (ANDAMANS) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-09-2017,Andaman and Nicobar Islands,2000000,100000,`50500,Trading,"ROOM NO 17, BENGALI CLUB, ABERDEEN BAZAR PORT BLAIR Andaman Islands AN IN 744101",RCAND,sagar.khurana@hotmail.com,NA,NA
U50500AN2017PTC005382,NEXT GEN AUTOMOBILES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-11-2017,Andaman and Nicobar Islands,2000000,100000,`50500,Trading,"Room No 2, Old Pahargaon Junction, South Andaman Port Blair Andaman Islands AN IN 744103",RCAND,vinodca@hotmail.com,NA,NA
U74140AN2009PTC000114,CHANAKYA CONSULTANCY SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-06-2009,Andaman and Nicobar Islands,100000,100000,`74140,Business Services,"No.125, M.G.Road, Near Junglighat Petrol Pumb, Port Blair AN IN 744103",RoC-Chennai,ca.patel@vlp.co.in,31-03-2017,31-03-2017
U14299AN2017PTC005347,RATHINA VINAYAKAR METALS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-03-2017,Andaman and Nicobar Islands,1000000,800000,`14299,Mining & Quarrying,BIMBLITAN PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744105,RCAND,NANDUNANDY2012@GMAIL.COM,31-03-2017,31-03-2017
U15120AN2012PTC000174,ARYAN AQUA (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-06-2012,Andaman and Nicobar Islands,1000000,600000,`15120,Manufacturing (Food stuffs),Survey No-182/13 CALICUT VILLAGE PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,roc.casatya@gmail.com,31-03-2017,31-03-2017
U15122AN2010PTC000131,ICY SPICY ICE CREAM PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-01-2010,Andaman and Nicobar Islands,1000000,100000,`15122,Manufacturing (Food stuffs),"BASMENT, ISELAND ARCADE JUNGLIGHAT PORT BLAIR AN IN 744103",RoC-Chennai,rajeshbagla@gmail.com,31-03-2017,31-03-2017
U15122AN2012PTC000176,JEHOVAN MARINE EXPORTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,18-07-2012,Andaman and Nicobar Islands,500000,500000,`15122,Manufacturing (Food stuffs),"SHOP NO. 23, MUNICIPAL MARKET, DAIRY FARM, NR. GANESH TEMPLE, SOUTH ANDAMAN, PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,jsmarineseafoods@gmail.com,NA,NA
U15122AN2015PTC000262,ICY SPICY FOODS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-06-2015,Andaman and Nicobar Islands,5000000,5000000,`15122,Manufacturing (Food stuffs),ICY SPICY ISLAND ARCADE JUNGLIGHAR PORTBALIR Andaman Islands AN IN 744103,RoC-Chennai,legal@icyspicy.in,31-03-2017,31-03-2017
U15205AN2015PTC000266,BLAIR FOOD PRODUCTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-07-2015,Andaman and Nicobar Islands,5000000,200000,`15205,Manufacturing (Food stuffs),ICY SPICY ISLAND ARCADE JUNGLIGHAT PORTBLAIR Andaman Islands AN IN 744103,RoC-Chennai,UMANG@ICYSPICY.IN,31-03-2017,31-03-2017
U15500AN2013PTC000213,CALCUTTA FOOD AND BOTTLING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-11-2013,Andaman and Nicobar Islands,100000,100000,`15500,Manufacturing (Food stuffs),ABERDEEN BAZAAR PORT BLAIR AN IN 744101,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U15543AN2010PTC000137,ECOGEN CRYSTALLINE WATER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-04-2010,Andaman and Nicobar Islands,500000,100000,`15543,Manufacturing (Food stuffs),57(1) DAIRY FARM WARD NO.7 PORT BLAIR AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,31-03-2013,31-03-2013
U51102AN2011PTC000160,A & N INDIA MARKETING SERVICES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,17-08-2011,Andaman and Nicobar Islands,500000,300000,`51102,Trading,"MANPUR, P.O. - TUSHNABAD TAHASIL - FERRARGUNJ, P.S. - OGRABRAJ SOUTH ANDAMAN Andaman Islands AN IN 744103",RoC-Chennai,mca.samrat@rediffmail.com,NA,NA
U51103AN2009PTC000122,KARAN TRADING (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-09-2009,Andaman and Nicobar Islands,10000000,5165000,`51103,Trading,232 M.G ROAD LAMBA LINE PORT BLAIR AN IN 744101,RoC-Chennai,pearlanil@rediffmail.com,31-03-2017,31-03-2017
U51103AN2009PTC000127,VENKATESHWARA HARDWARE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-12-2009,Andaman and Nicobar Islands,2000000,1692800,`51103,Trading,NO. 33 SISTY NAGAR ABERDEEN VILLAGE PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U51109AN2016PTC000296,AKR FRESH VEG & FROZEN FOODS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-03-2016,Andaman and Nicobar Islands,10000000,7500000,`51109,Trading,A.K.R. PALACE ATLANTA POINT PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,abdulkani6441@gmail.com,NA,NA
U74900AN2009PTC000116,MOUNTAIN EDGE TOURS AND HOLIDAYS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-06-2009,Andaman and Nicobar Islands,1000000,500000,`74900,Business Services,OPPOSITE RAJASTHAN MANCH SHADIPUR PORT BLAIR Andaman Islands AN IN 744106,RoC-Chennai,mountainedgepb@gmail.com,31-03-2016,31-03-2016
U74900AN2010PTC000148,AGENCY HOUSE (A&N ISLANDS) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-11-2010,Andaman and Nicobar Islands,100000000,7500000,`74900,Business Services,171 ABERDEEN BAZAR PORT BLAIR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,ravichandransca.efile@gmail.com,31-03-2016,31-03-2017
U74900AN2012PTC000177,DE MEADOWS (ANDAMANS) RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-07-2012,Andaman and Nicobar Islands,1000000,100000,`74900,Business Services,BIRDLINE JUNCTION POST OFFICE-CALICUT SOUTH ANDAMAN AN IN 744105,RoC-Chennai,roybagchi@gmail.com,31-03-2015,31-03-2015
U74900AN2013PTC000205,NELLAIH FEEDS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-07-2013,Andaman and Nicobar Islands,1000000,800000,`74900,Business Services,NO.33 SISTY NAGAR ABERDEEN VILLAGE PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,RAVICHANDRANSCA@YAHOO.COM,NA,NA
U74900AN2014PTC000219,ABLE TOURISM (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-03-2014,Andaman and Nicobar Islands,500000,100000,`74900,Business Services,M.B 210 SHADIPUR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,nadeemixz@gmail.com,31-03-2016,31-03-2016
U74900AN2014PTC000222,PETROFICIENT ENGINEERING SOLUTIONS LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,28-03-2014,Andaman and Nicobar Islands,100000,100000,`74900,Business Services,"MB-16, Babu Lane, Aberdeen (P.O), Andamans, Nicobar Islands Nicobar Islands AN IN 744104",RoC-Chennai,aktport@gmail.com,NA,NA
U74900AN2014PTC000223,NANDA AGENCY HOUSE SHIPPING SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-06-2014,Andaman and Nicobar Islands,20000000,5000000,`74900,Business Services,"171, Aberdeen Bazaar, Port Blair Andaman Islands AN IN 744104",RoC-Chennai,agencypbl@gmail.com,31-03-2016,31-03-2017
U74900AN2014PTC000230,OCEAN REEFS (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-08-2014,Andaman and Nicobar Islands,1000000,600000,`74900,Business Services,"Shop No-5/1/2, Survey No-59/11 Gurudwara Lane, Ward No-14 Port Blair Andaman Islands AN IN 744101",RoC-Chennai,s1982m1983@gmail.com,NA,NA
U74900AN2015PTC000242,CHAKRABORTY MULTI-SPECIALITY HOSPITAL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-01-2015,Andaman and Nicobar Islands,2000000,200000,`74900,Business Services,CHAKRABORTY MULTI-SPECIALITY HOSPITALPRIVATE LIMIT DOLLYGUNJ JUNCTION PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,babu.badat@gmail.com,NA,NA
U74900AN2016PTC000281,ROYAL PETROLEUM (ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-02-2016,Andaman and Nicobar Islands,100000,100000,`74900,Business Services,SHOREPOINT BAMBOOFLAT PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,ZUBI.BEGUM@GMAIL.COM,NA,NA
U74900AN2016PTC000284,ANDAMAN SAFARIS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-02-2016,Andaman and Nicobar Islands,100000,100000,`74900,Business Services,"14/4,NO.3 J.N.ROAD,GOAL GHAR PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,AJAYKANDAMAN@GMAIL.COM,31-03-2017,31-03-2016
U74900AN2016PTC000285,GO COOL NEXT GEN PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-02-2016,Andaman and Nicobar Islands,100000,100000,`74900,Business Services,C-49 PHARGAON PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U74900AN2016PTC000286,FEEL GOOD VENTURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-02-2016,Andaman and Nicobar Islands,1000000,1000000,`74900,Business Services,OPP. LG SERVICE CENTRE RGT ROAD PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,roc.cassatya@gmail.com,31-03-2017,31-03-2017
U74900AN2016PTC000292,AKSPEARLS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-03-2016,Andaman and Nicobar Islands,100000,100000,`74900,Business Services,"34/1/2, LAMBA LINE, PORT BLAIR ANDAMAN Andaman Islands AN IN 744103",RoC-Chennai,AJAISONKAR@GMAIL.COM,31-03-2017,31-03-2017
U51430AN2016PTC000290,SIVASELVAM STORES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-03-2016,Andaman and Nicobar Islands,5000000,4000000,`51430,Trading,SURVEY NO.484/3 HARI NAGAR BILLIGROUND Andaman Islands AN IN 744201,RoC-Chennai,caravichandrans@gmail.com,31-03-2016,31-03-2016
U51503AN2012PTC000169,K P TRADING & COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-01-2012,Andaman and Nicobar Islands,2000000,1750000,`51503,Trading,OPP: JAMA MASJID ABERDEEN BAZAR PORT BLAIR AN IN 744101,RoC-Chennai,roc.casatya@gmail.com,NA,NA
U51506AN1986PTC000021,STUDENTS STORES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,04-12-1986,Andaman and Nicobar Islands,300000,0,`51506,Trading,Aberdeen Bazar Port Blair Andamans AN IN 744104,RoC-Chennai,NA,NA,NA
U51900AN2010PTC000138,SEA BAY TRADELINKS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,21-04-2010,Andaman and Nicobar Islands,100000,100000,`51900,Trading,"#45,VIP ROAD, OPP: I.T.F. GROUND PORTBLAIR Andaman Islands AN IN 744101",RoC-Chennai,balaji_kanneganti@rediffmail.com,NA,NA
U51909AN1975PTC000002,JADWET TRADING COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-12-1975,Andaman and Nicobar Islands,20000000,1000000,`51909,Trading,XX XX AN IN 744104,RoC-Chennai,mhjadwet@hotmail.com,31-03-2017,31-03-2017
U51909AN1983PTC000009,R.AKOOJI JADWET AND COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-09-1983,Andaman and Nicobar Islands,2000000,950000,`51909,Trading,xx xx AN IN 744104,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U51909AN2008PTC000102,SILVER SKY ENTERPRISES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,25-09-2008,Andaman and Nicobar Islands,1000000,0,`51909,Trading,M.B 69 ABERDEEN BAZAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U51909AN2011PTC005344,PRINCE STORES (TRADING) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-04-2011,Andaman and Nicobar Islands,2000000,1200000,`51909,Trading,GARACHARMA POST OPPOSITE I.O.B. PORT BLAIR Andaman Islands AN IN 744105,RoC-Chennai,sagar.khurana@hotmail.com,31-03-2017,31-03-2017
U51909AN2014PTC000220,SAKTHI HARDWARES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-03-2014,Andaman and Nicobar Islands,5000000,5000000,`51909,Trading,NO. 198 M.G ROAD JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,babu.badat@gmail.com,31-03-2016,31-03-2016
U51909AN2015PTC000244,SELVAM STORE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-02-2015,Andaman and Nicobar Islands,5000000,1500000,`51909,Trading,SURVEY NO.51/1 BABU LANE PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,selvam8167@gmail.com,31-03-2016,31-03-2016
U51909AN2015PTC000252,ISLANDERS MARGIN FREE CANTEEN PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-03-2015,Andaman and Nicobar Islands,5000000,2000000,`51909,Trading,"Rahiman Basera, First Floor, Marine Hill (Village Phoenix Bay) Port Blair Andaman Islands AN IN 744101",RoC-Chennai,imfcandaman@gmail.com,31-03-2017,31-03-2017
U51909AN2017PTC005387,LONSIM HARDWARES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-12-2017,Andaman and Nicobar Islands,1000000,100000,`51909,Trading,"1ST FLOOR, WARD NO.17, OPP. EB OFFICE, DOLLYGUNJ, PORT BLAIR Andaman Islands AN IN 744103",RCAND,sblmakeinindia@gmail.com,NA,NA
U51909AN2018PTC005398,KANCHIPURAM SABTHAGIRI SILKS SAREES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-02-2018,Andaman and Nicobar Islands,1000000,1000000,`51909,Trading,"Rani Meyyamal Hall, Sangam Complex Phoenix Bay, South Andaman, PORT BLAIR Andaman Islands AN IN 744101",RCAND,sabthgirisilks@gmail.com,NA,NA
U20232AN2012PTC000183,VCARE DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,12-11-2012,Andaman and Nicobar Islands,1000000,100000,`20232,Manufacturing (Wood Products),"124 J N ROAD DELANIPUR, HADDO POST PORT BLAIR AN IN 744102",RoC-Chennai,ROC@VLP.CO.IN,31-03-2014,31-03-2014
U21098AN2016PTC000279,DIGITAL ARTS TECHNOLOGIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-02-2016,Andaman and Nicobar Islands,100000,100000,`21098,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","RGT ROAD, NEAR MURUGAN TEMPLE PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U21099AN2016PTC005313,ROYAL DIGITAL PRINTER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-08-2016,Andaman and Nicobar Islands,100000,100000,`21099,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",88 M A ROAD PHONGY CHANG PORT BLAIR Andaman Islands AN IN 744101,RCAND,ROC@VLP.CO.IN,NA,NA
U21099AN2016PTC005325,SRI MAKAABHA PAPER PRODUCTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-12-2016,Andaman and Nicobar Islands,1000000,500000,`21099,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","Village Prothrapur, Port Blair Tehsil Port Blair Andaman Islands AN IN 744105",RCAND,karthik.katty9@gmail.com,NA,NA
U22110AN1989PTC000032,ANDAMAN AND NICOBAR PUBLISHERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,06-09-1989,Andaman and Nicobar Islands,500000,12500,`22110,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","MB 362,Junglighat Port Blair Andaman AN IN 744103",RoC-Chennai,NA,NA,NA
U22130AN2004PTC000073,GEZIRA PUBLICATIONS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,30-11-2004,Andaman and Nicobar Islands,1000000,475000,`22130,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","Whitehouse,23/3, Kalibari Road Prem Nagar Port Blair AN IN 744103",RoC-Chennai,NA,NA,NA
U22190AN2015PTC000254,GATEWAY PRODUCTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-04-2015,Andaman and Nicobar Islands,100000,100000,`22190,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","1/86, J N ROAD HADDO, PORT BLAIR ANDAMAN Andaman Islands AN IN 744103",RoC-Chennai,roc@vlp.co.in,NA,NA
U22210AN2009PTC000117,KRG PUBLICATIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-06-2009,Andaman and Nicobar Islands,1000000,900000,`22210,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",BUNIYADABAD HADDO PORT BLAIR AN IN 744102,RoC-Chennai,krgprivatelimited@gmail.com,31-03-2016,31-03-2017
U22219AN2016PTC005304,ANI NEWS AND ADVERTISING AGENCY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-06-2016,Andaman and Nicobar Islands,1000000,100000,`22219,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","C-12 SHADIPUR, 2ND FLOOR,PORT BLAIR, ANDAMAN AND NICOBAR ISLAND Andaman Islands AN IN 744101",RoC-Chennai,JOHN09434288588@GMAIL.COM,31-03-2017,31-03-2017
U27101AN1988PTC000025,ISLAND RE-ROLLING MILLS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,11-02-1988,Andaman and Nicobar Islands,1000000,0,`27101,"Manufacturing (Metals & Chemicals, and products thereof)",Tower House Aberdeen Bazar Port Blair AN IN 744104,RoC-Chennai,NA,NA,NA
U27107AN1994PTC000045,WESTERN STEEL CONSTRUCTION PRIVATE LIMITED.,Strike Off,Private,Company limited by Shares,Non-govt company,29-03-1994,Andaman and Nicobar Islands,1000000,0,`27107,"Manufacturing (Metals & Chemicals, and products thereof)",No 3 4 Krishna Building 1st Floor Haddo Road Port Blair AN IN 744104,RoC-Chennai,NA,NA,NA
U28111AN1989PTC000033,SURYADWEEP ISPAT UDHYOG PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-09-1989,Andaman and Nicobar Islands,1000000,0,`28111,"Manufacturing (Metals & Chemicals, and products thereof)",Schooline Port Blair AN IN 744103,RoC-Chennai,NA,NA,NA
U28112AN1990PTC000034,ANDAMAN ENGINEERING & PETROLEUM AGENCIES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-09-1990,Andaman and Nicobar Islands,250000,25000,`28112,"Manufacturing (Metals & Chemicals, and products thereof)",Rangat Rangat AN IN 744104,RoC-Chennai,NA,NA,NA
U65993AN2014PTC000231,ANDAMAN & NICOBAR FINANCE & INVESTMENT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-08-2014,Andaman and Nicobar Islands,100000,100000,`65993,Finance,"1, SUBHABAZAR MARKET COMPLEX ROOM NO. 3, 1ST FLOOR, DIGLIPUR NORTH ANDAMAN DIGLIPUR Andaman Islands AN IN 744202",RoC-Chennai,bikashdas17021973@gmail.com,NA,NA
U65999AN1984PTC000012,APNAR FINANCE AND CONSULTANTS (INDIA) PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,01-09-1984,Andaman and Nicobar Islands,100000,0,`65999,Finance,xx xx AN IN 744104,RoC-Chennai,NA,NA,NA
U67120AN1994PTC000043,ANDAMAN OVERSEAS FINVEST PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,15-02-1994,Andaman and Nicobar Islands,1000000,1000000,`67120,Finance,"MB 347,Junghlighat Port Blair South Andaman AN IN 744104",RoC-Chennai,NA,NA,NA
U34101AN2015PTC000270,L M STAR AUTOTRADE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-08-2015,Andaman and Nicobar Islands,800000,800000,`34101,Manufacturing (Machinery & Equipments),"NO.106, OLD MOHANPURA VEGETABLE MARKET, PORT BLAIR, SOUTH ANDAMAN BLAIR PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,murugang1978@gmail.com,31-03-2017,31-03-2017
U70102AN2009PTC000119,ANDAMAN PROPERTIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-07-2009,Andaman and Nicobar Islands,500000,100000,`70102,Real Estate and Renting,P.O BOX NO. 219 ABERDEEN BAZAR PORT BLAIR AN IN 744101,RoC-Chennai,mhjadwet@hotmail.com,31-03-2017,31-03-2017
